PLANT NAME,OPERATING COMPANY,WEBSITE NAME,CONTACT URL
Uenotai Geothermal Power Plant Japan,"Tohoku Electric Power Co., Inc.",Contact us | Tohoku Electric Power Website,https://www.tohoku-epco.co.jp/cgi-bin/00002020e/inquiry/toiawase.cgi?about=e-contact-us
Yamagawa Geothermal Power Plant Japan,"Kyushu Electric Power Co., Inc.",electrode to contact to an electrolyte on one side and to,http://electrochem.org/dl/ma/206/pdfs/0129.pdf
Yanaizu-Nishiyama Geothermal Power Plant Japan,Tohoku Electric Power Company,Contact us | Tohoku Electric Power Website,https://www.tohoku-epco.co.jp/cgi-bin/00002020e/inquiry/toiawase.cgi?about=e-contact-us
Hachijojima Geothermal Power Plant Japan,"Tohoku Electric Power Co., Inc.",Contact us | Tohoku Electric Power Website,https://www.tohoku-epco.co.jp/cgi-bin/00002020e/inquiry/toiawase.cgi?about=e-contact-us
Hatchobaru Geothermal PP,Kyushu Electric Power Company,Development of a high-speed overhead contact line ...,https://www.witpress.com/Secure/elibrary/papers/CR10/CR10016FU1.pdf
Kakkonda Geothermal Power Plant Japan,Tohoku Electric Power Company,Contact us | Tohoku Electric Power Website,https://www.tohoku-epco.co.jp/cgi-bin/00002020e/inquiry/toiawase.cgi?about=e-contact-us
Olkaria I Geothermal Power Station Kenya,Kenya Electricity Generation Company,Contact Us - Kenya Electricity Transmission Company,http://www.ketraco.co.ke/about/contacts.html
Olkaria II Geothermal Power Station Kenya,Kenya Electricity Generation Company,Contact Us - Kenya Electricity Transmission Company,http://www.ketraco.co.ke/about/contacts.html
Olkaria III Geothermal Power Station Kenya,ORMAT Technologies Inc,Ormat Technologies Inc. - Contact,http://www.ormat.com/en/company/contact/main/
Cerro Prieto II Geothermal Plant Mexico,Comision Federal de Electricidad (CFE),What does CFE stand for? - abbreviations.com,https://www.abbreviations.com/CFE
Cerro Prieto III Geothermal Plant Mexico,Comision Federal de Electricidad (CFE),What does CFE stand for? - abbreviations.com,https://www.abbreviations.com/CFE
Humeros Geothermal Plant Mexico,Comision Federal de Electricidad (CFE),What does CFE stand for? - abbreviations.com,https://www.abbreviations.com/CFE
Los Azufres Geothermal Power Plant Mexico,Comision Federal de Electricidad (CFE),What does CFE stand for? - abbreviations.com,https://www.abbreviations.com/CFE
Tres Virgenes Geothermal Plant Mexico,Comision Federal de Electricidad (CFE),What does CFE stand for? - abbreviations.com,https://www.abbreviations.com/CFE
Kawerau (Bay of Plenty)  Geothermal Power Plant New Zealand,Bay of Plenty Energy (BoPE),Contact Energy - liquisearch.com,https://www.liquisearch.com/contact_energy
Kawerau Geothermal Power Plant New Zealand,Mighty River Power Co,Writedown by Mighty River Power puts spotlight on Contact ...,http://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=11407240
Bacon-Manito (BacMan) Geothermal Power Plant Philippines,Bac-Man Geothermal Inc.,Contact Us | Ibalon,https://ibalon.wordpress.com/category/contact-us/
Leyte Geothermal Power Plant Philippines,Energy Development Corporation (EDC),The Energy Development Corporation | Contact Us,http://www.energy.com.ph/contact-us/
Mindanao Geothermal Power Plant Philippines,Marubeni Energy Services Corp,Contact Us - Marubeni Corporation,https://www.marubeni.com/contact_en/index.php
Negros (Palinpinon) Geothermal Power Plant Philippines,Energy Development Corporation (EDC),The Energy Development Corporation | Contact Us,http://www.energy.com.ph/contact-us/
Northern Negros Geothermal Power Plant Philippines,Energy Development Corporation (EDC),The Energy Development Corporation | Contact Us,http://www.energy.com.ph/contact-us/
Germencik-II (EFE-1) Geothermal Power Plant Turkey,Gurmat,Contact | Gurmat Veechar,http://www.gurmatveechar.com/contact
A W Hoch Geothermal Plant CA USA,MidAmerican Energy Holdings Co,Contact Us - MidAmerican Energy,https://www.midamericanenergy.com/contact-us.aspx
2009,MidAmerican Energy Holdings Co,Contact Us - MidAmerican Energy,https://www.midamericanenergy.com/contact-us.aspx
Caithness Dixie Valley Geothermal Plant NV USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Calistoga Power Plant Geothermal Plant CA USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Coso Energy Developers Geothermal Plant CA USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Coso Finance Partners Geothermal Plant CA USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Coso Power Developers Geothermal Plant CA USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Empire Geothermal Plant NV USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Geothermal 2 Geothermal Plant CA USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Geysers Unit 5-20 Geothermal Plant CA USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Heber Geothermal Geothermal Plant CA USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
J J Elmore Geothermal Plant CA USA,MidAmerican Energy Holdings Co,Contact Us - MidAmerican Energy,https://www.midamericanenergy.com/contact-us.aspx
J M Leathers Geothermal Plant CA USA,MidAmerican Energy Holdings Co,Contact Us - MidAmerican Energy,https://www.midamericanenergy.com/contact-us.aspx
Ormesa I Geothermal Plant CA USA,ORMAT Industries (Israel),Ormat Technologies Inc. - Contact,http://www.ormat.com/en/company/contact/main/
Puna Geothermal Venture I Geothermal Plant HI USA,ORMAT Industries (Israel),Ormat Technologies Inc. - Contact,http://www.ormat.com/en/company/contact/main/
Salton Sea Unit 3 Geothermal Plant CA USA,MidAmerican Energy Holdings Co,Contact Us - MidAmerican Energy,https://www.midamericanenergy.com/contact-us.aspx
Salton Sea Unit 4 Geothermal Plant CA USA,MidAmerican Energy Holdings Co,Contact Us - MidAmerican Energy,https://www.midamericanenergy.com/contact-us.aspx
Second Imperial Geothermal Geothermal Plant CA USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Soda Lake Geothermal No I II Geothermal Plant NV USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Sonoma California Geothermal Geothermal Plant CA USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Steamboat II Geothermal Plant NV USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Steamboat III Geothermal Plant NV USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Stillwater Facility Geothermal Plant NV USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Vulcan Geothermal Plant CA USA,MidAmerican Energy Holdings Co,Contact Us - MidAmerican Energy,https://www.midamericanenergy.com/contact-us.aspx
Wabuska Geothermal Plant NV USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
West Ford Flat Power Plant Geothermal Plant CA USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
