
Title,ID,ru,sp,du
And say the letters sound...,_sastls1,И сказать буквы звук...,Y decir el sonido de letras...,En zeggen dat het geluid van de brieven...
and the blend or digraph (Hint3).,_satbod,и смесь или диграф (Hint3).,y la mezcla o dígrafo (Hint3).,en de mix of digraaf (Hint3).
and the consonant (Hint3).,_satc,и согласные (Hint3).,y la consonante (Hint3).,en de medeklinker (Hint3).
and the vowel (Hint3),_satv,и гласных (Hint3),y la vocal (Hint3),en de klinker (Hint3)
"and vowels with the letter ""v"". (We will represent consonants with the letter ""c"")",_savwtl,и гласных с буквы «v». (Мы представляем согласных с буквой «c»),"y las vocales con la letra ""v"". (Se representan consonantes con la letra ""c"")","en klinkers met de letter ""v"". (Wij zullen vertegenwoordigen medeklinkers met de letter ""c"")"
"and...(Hint3) (used in Syllables, Break 3)",_wand1,"и... (Hint3) (используется в слогах, перерыв 3)","y... (Hint3) (utilizado en sílabas, 3 la rotura)","en... (Hint3) (gebruikt in lettergrepen, breken 3)"
"""ang"" (the letters)",_lang,«Анг» (письма),"""ang"" (las letras)","""ang"" (de letters)"
"""ang"" (the sounds)",_sang,«Анг» (звуки),"""ang"" (los sonidos)","""ang"" (de klanken)"
"""ank"" (the letters)",_lank,«АНК» (письма),"""ank"" (las letras)","""ank"" (de letters)"
ank (the sounds),_sank,ANK (звуки),ANK (los sonidos),ANK (de klanken)
another digraph in which the consonants do have separate sounds.,_sadiwt,еще один диграф в котором согласные имеют отдельные звуки.,digrama de otro en el que las consonantes tienen sonidos diferentes.,een ander digraaf waarin de medeklinkers afzonderlijke geluiden hebben.
another exception to vowel team rules.,_saetvt,еще одно исключение к правилам группы гласных.,otra excepción a las reglas del equipo vocal.,een andere uitzondering op de klinker team regels.
Answer no if you think the doubling rule does not apply to the word.,_saniyt,"Ответ нет если вы думаете, удвоение правило не применяется к слову.",Respuesta no si usted piensa que la regla de doblar no se aplica a la palabra.,Antwoord geldt niet als u denkt de verdubbeling regel dat niet voor het woord.
Answer yes if you think the doubling rule applies to the word.,_sayiyt,"Ответ Да, если вы считаете, что удвоение правило применяется к слову.",Contesta sí si crees que la palabra se aplica la regla de la duplicación.,Antwoord Ja als je denkt de verdubbeling regel dat is van toepassing op het woord.
appear,appear,появляются,aparecen,worden weergegeven
applause,_sapplau,аплодисменты,aplausos,applaus
ar,_lar,будет,sería,zou
are,are,являются,son,zijn
"are called r-controlled syllables (Syllables that contain the letters...(ar/er/ir, etc) ...",_sacrcs,"называются r контролируемых слогов (слогов, которые содержат буквы... (ar/э/ir, и т.д.)...","se llaman sílabas r controlado (sílabas que contienen las letras... (ar/er/ir, etcetera)...","heten r-gecontroleerde lettergrepen (lettergrepen die de letters bevatten... (ar/Translator/ir, enz)..."
"are consonants. (the letters ""t"" and ""p"")",_sac,являются согласных. (буквы «t» и «p»),"son consonantes. (las letras ""t"" y ""p"")","medeklinkers zijn. (de letters ""t"" en ""p"")"
Are you finished with these words?,_saydwt,Вы закончили с этими словами?,¿Se acabó con estas palabras?,Bent u klaar met deze woorden?
arr (the letters),_larr,ARR (письма),ARR (las letras),ARR (de letters)
"As a vowel team, you know that letters “ie” make long vowel sounds.",_saavty,"Как команда гласных вы знаете, что буквы «ie» сделать длинные гласные звуки.","Como un equipo de la vocal, sabes letras ""es decir"" hacer sonidos de vocal larga.","Als een klinker team weet u dat brieven ""ie"" maken lange klinkers."
"As each new sight word is introduced, the computer will record it in your electronic sight word notebook.",_saensw,"Как каждое новое слово взгляда введена, компьютер будет записывать его в ваш электронный прицел слово ноутбук.","Como se introduce cada nueva palabra de la vista, el equipo la grabará en su cuaderno de palabra mira electrónica.","Zoals elk nieuw gezicht woord is ingevoerd, zal de computer opnemen in uw elektronische zicht woord notitieblok."
as in,_sasin,как и в,al igual que en,Als in
as in the word...,_saitw,как в слове...,como en la palabra...,zoals in het woord...
"As you have practiced, “ow” also makes the sound of long “o”.",_sayhpo,"Как вы практиковали, «поток» также делает звук длинные «o».","Como ha practicado, ""ow"" también hace el sonido largo ""o"".","Als je hebt geoefend, maakt ""ow"" ook het geluid van lange ""o""."
"As you may have guessed by now, all the syllable types seem to have an exception or two.",_sasyou,"Как вы могли догадаться теперь, все типы слог, как представляется, исключение или два.","Como usted habrá adivinado por ahora, todos los tipos de sílaba parecen tener una excepción o dos.","Aangezien u kunt verondersteld hebben nu, lijken alle soorten van de lettergreep te hebben van een uitzondering of twee."
At least one letter in that word is silent.,_saloli,По крайней мере одной буквы в этом слове молчит.,Al menos una letra en la palabra es silencio.,Minstens één letter in dat woord is stil.
au (the letters),_lau,Au (письма),au (las letras),Au (de letters)
au (the sounds),_sau,Au (звуки),au (los sonidos),Au (de klanken)
augh (the letters),_laugh,Augh (письма),augh (las letras),augh (de letters)
augh1 (the sounds),_saugh,augh1 (звуки),augh1 (los sonidos),augh1 (geluiden)
augh2 (as in LAUGH),_saugh2,augh2 (как и смех),augh2 (como en la risa),augh2 (zoals in lachen)
aw (the letters),_law,AW (письма),AW (las letras),AW (de letters)
aw (the sounds),_saw,AW (звуки),AW (los sonidos),AW (de klanken)
ay (the letters),_lay,Ай (письма),Ay (las letras),ay (de letters)
ay (the sounds),_say,Ай (звуки),Ay (los sonidos),ay (de klanken)
b (the letter),b,b (буква),b (la letra),b (de letter)
baby,baby,Детские,bebé,baby
BACHINV1,BACHINV1,BACHINV1,BACHINV1,BACHINV1
BACHINV2,BACHINV2,BACHINV2,BACHINV2,BACHINV2
BACHINV3,BACHINV3,BACHINV3,BACHINV3,BACHINV3
BACHPR51,BACHPR51,BACHPR51,BACHPR51,BACHPR51
bald,bald,скоро,pronto,binnenkort
ball,ball,мяч,bola,bal
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
