Wave1,Corrections,ru,de,es,fr
_seatlit,"Enter all of the letters in the ""r-controlled"" syllable.",,,,
_seaotli,"Enter all of the letters in the syllable that contains the letter ""c"".",,,,
_seaotl,"Enter all of the letters in the syllable that contains the letter ""g"".",,,,
_setbww,"Enter the base word without the added ""s"".",,,,
_setkft,Enter the keyword for that sound.,,,,
_setlei,"Enter the letter ""E"" if you think the vowel is ""E"".",,,,
_setlii,"Enter the letter ""I"" if you think the vowel is ""I"".",,,,
_setlsit,"Enter the letter ""s"" if the vowel is short, or ""l"", if the vowel is long.",,,,
_setlft,Enter the letter for that sound.,,,,
_setlft1,Enter the letter for the sound...,,,,
_setlotv,Enter the letter of the vowel sound for the word...,,,,
_setlot,Enter the letters for the digraph in the word...,,,,
_setlot5,Enter the letters of the long vowel sounds for the word...,,,,
_setlo12,Enter the letters of the suffix in the word...(word),,,,
_setlot4,Enter the letters of the three letter blend for the word...,,,,
_setlot3,Enter the letters of the vowel sound for the word...,,,,
_setlot2,Enter the letters of the vowel team in the word...,,,,
_setlot6,"Enter the letters of the vowel team in this word that make the sound...(""SkillWave"").",,,,
_setlot1,Enter the letters of the vowel team.,,,,
_setlotw,Enter the letters of the word family in the word (word).,,,,
_setmli,Enter the missing letter in the correct alphabetical order.,,,,
_setnos,Enter the number of syllables that you hear in the word...(word),,,,
_setvsf,Enter the vowel sound for the word...,,,,
_setwwi,"Enter the ""W"" with its controlled letters for the word (word).",,,,
_lerr,err (the letters),,,,
_les,"""es"" (the letters)",,,,
_lest,"""est"" (the letters)",,,,
_leu,"""eu"" (the letters)",,,,
_lew,"""ew"" (the letters)",,,,
_ley,"""ey"" (the letters)",,,,
_sff1,"fifteen, fifteenth",,,,
_sfitbwa,Fill in the blanks with a word from the story.,,,,
_sflait,"""fl"", as in the word flap",,,,
_sfetaf,"For example ""TAF"" is not a word, but you can blend the three sounds /t/ /a/ /""f""/ to make a nonsense word.",,,,
_sfetit,"For example, ""t"" is the first letter of the word ""top""",,,,
_sforex,"For example, I will say object -- What type of syllable is the first syllable in the word object?",,,,
_sfeitw,"For example, in the word ""these"", the ""th"" is obstructed by your teeth,",,,,
_sfetot,"For example, think of the name Tom and the sounds you hear in it.",,,,
_sfetot1,"For example, think of the word top and the sounds you hear in it.",,,,
_sfec,For example: contest,,,,
_sfeds,"For example: ""da"" ""so"" = soda",,,,
_sfeff,"For example: fifty = ""fif"" ty",,,,
_sfer,"For example: reruns = ""re"" runs",,,,
_sfer1,For example: restive = rest ive,,,,
_sfev,"For example: volcanic = ""vol"" can ic",,,,
_sfmnat,"For most numbers after three, you will add the letters ""th"" when referring to the next consecutive count of something.",,,,
_sftw,For the word...,,,,
_sff,"fourteen, fourteenth",,,,
_lful,"""ful"" (the letters)",,,,
_sg,"""g"" (hard G sound)",,,,
g,"""g"" (the letter).",,,,
_lgh,"""gh"" (the letters)",,,,
_lgn,"""gn"" (the letters)",,,,
_sgwbil,"Good work, but I'""d"" like to hear the ""a"" sound once again.",,,,
_shasns,Here are some new sight words for you to memorize.,,,,
_shiasr,Here is a simple rule for you to remember.,,,,
_shotfv,hooks onto the first vowel to form a closed syllable.,,,,
_showis,"How is the word ""into"" different from the word ""in""?",,,,
_shmldy,How many letters do you see?,,,,
_shmsdy1,How many sounds did you hear?,,,,
_shmsdy,How many sounds did you say.,,,,
_shmsd3,How many sounds do you hear in the first syllable?,,,,
_shmsd2,How many sounds do you hear in the second syllable?,,,,
_shmsd,How many sounds do you hear?,,,,
_shmsa,How many syllables are in this word?,,,,
_shiyst,"However, if you say the vowel team ""ei"" using a long ""e"" sound, you get the nonsense word ""cleent"".",,,,
_sasmt1,I am going to say two words.,,,,
_sihkto,I have kept the ones you have already completed.,,,,
_siwbit,I will beep if the letter you type is wrong.,,,,
_siwbit1,I will beep if you choose the wrong second syllable.,,,,
_siwgyf,I will give you four groups of three.,,,,
_siwsab,I will say a blend.,,,,
_siwsan,I will say a nonsense word.,,,,
_siwsap,I will say a phrase.,,,,
_siwsas1,I will say a sentence.,,,,
_siwsas,I will say a sound.,,,,
_siwsaw1,I will say a word and I will say a sound.,,,,
_siwsaw3,I will say a word and show it on the screen.,,,,
_siwsaw2,I will say a word or a nonsense word.,,,,
_siwsaw,I will say a word.,,,,
_siwsts,I will say the sound of a blend.,,,,
_siwstf,I will show the first syllable of a word.,,,,
_siwsya2,I will show you a group of letters.,,,,
_siwsya4,I will show you a group of sentences.,,,,
_siwsya3,I will show you a group of words.,,,,
_siwsya,I will show you a letter and you will need to record its sound.,,,,
_siwsya6,I will show you a word that contains the letter “c”.,,,,
_siwsya7,I will show you a word that contains the letter “g”.,,,,
_siwsya5,"I will show you a word that contains the suffix ""“ed”"".",,,,
_siwsya1,I will show you a word.,,,,
_siwsys,I will show you some letters and you will need to record their sound.,,,,
_sistoy,"I'""ve"" saved the ones you need to check again.",,,,
_si2,"""i2"" (double dotted - the sound (""machine""))",,,,
_lie,"""ie"" (the letters)",,,,
_sie,"""ie"" (the sounds)",,,,
_sasmt2,"If I say the same words twice, I want you to click the SAME box",,,,
_sasmt3,"If I say two different words, I want you to click the DIFFERENT box.",,,,
_sitdma,"If that ""doesn""'""t"" make a sensible word, then try dividing the vowels.",,,,
_sitlri,"If the “r” is followed by ""an"" “e” at the end of the word, the vowel will make its long sound.",,,,
_sifthe,"If the consonant before the ""le"" is doubled, then the syllable before the consonant l - ""e"" is closed.",,,,
_sitcbt,"If the consonant before the ""le"" is not doubled, then the syllable before the consonant l - ""e"" is open.",,,,
_sitcbt2,"If the consonant before the ""y"" is doubled, the previous syllable is closed.",,,,
_sitcbt3,"If the consonant before the ""y"" is not doubled, the previous syllable is open.",,,,
_sitlai,"If the letter “a” is a syllable at the beginning of a word, it is unaccented and says “u” (ugh).",,,,
_sitlai1,"If the letter “a” is at the end of a word, the syllable that contains it is also unaccented and says “u” (ugh).",,,,
_sitlci,"If the letter “c” is followed by the letters “e”, ""“i”"", or “y”, the “c” will make the /""s""/ sound.",,,,
_sitlie,"If the letter ""“i”"" ends a syllable (making it open), and another vowel follows, the “i” will frequently make the long “e” sound.",,,,
_sitsia,"If the syllable is a closed syllable, type ""C"".",,,,
_sitsia1,"If the syllable is a vowel - consonant - ""e"" syllable, type ""E"".",,,,
_sitvsi,"If the vowel sound is ""r""-controlled type ""er"", ""ir"", or ""ur"".",,,,
_sitvsi1,"If the vowel sound is ""r""-controlled, say and type ""ar"".",,,,
_sitvsi2,"If the vowel sound is ""r""-controlled, type ""ear"", ""er"", ""ir"", or ""ur"".",,,,
_sitvsi3,"If the vowel sound is ""r""-controlled, type or or ore--whichever way you think the word is spelled.",,,,
_sitwds,"If the word ""doesn""'""t"" sound correct, say it a second time with the ""fitst"" vowel long.",,,,
_sitwew,"If the word ends with a short vowel, consonant, and the ""k"" sound, it will not need the ""c"".",,,,
_sitwht,"If the word has two syllables, I will ask for the first syllable, then the second syllable.",,,,
_sitwws,"If the word was spelled ""brige"", the vowel-consonant-""e"" pattern would apply, and the letter ""i"" would make its long sound.",,,,
_siyans,"If you are not sure which sound to use, try both sounds to form a word you recognize.",,,,
_sasmt4,"If you don'""t"" know or are unsure then select the DON'T KNOW box",,,,
_siykht,"If you know how this word is ""pronnounced"", listen to the sounds made by the vowels.",,,,
_siyktcs,"If you know the common suffixes, you will find it easier to break apart words.",,,,
_sifyou,"If you need help, just click on any syllable.",,,,
_sifyou1,"If you need help, just click on the word.",,,,
_siystv,"If you say the vowel team ""ei"" using a long ""i"" sound, you get the nonsense word ""clint"".",,,,
_siynsa,"If you'""re"" not sure, and the word contains a known vowel team, blend the word using the vowel team sound.",,,,
_ligh,"""igh"" (the letters)",,,,
_siacst,In a closed syllable the vowel will have a short sound.,,,,
_sinacl,"In a closed syllable, the vowel is followed by at least one consonant.",,,,
_siacs2,"In a closed syllable, the vowel is short.",,,,
_siafoc,"In a few other cases, words ending in the letters ""ey"" make the ""ound"" of long ""a"".",,,,
_siavstv,"In a ""vce"" syllable, the vowel will ""be"" long.",,,,
_siawte1,"In a word that ends in ""“stle”"", the “t” is silent",,,,
_siawte,"In a word that ends with a vowel, a consonant, and ""an"" ""e"", the ""e"" is silent.",,,,
_siawth,"In a word that has a short vowel and ends with a consonant that you can hear, the letters ""ch"" do not need a ""t"".",,,,
_siatot,"In all the other three letter blends, each letter makes its own sound.",,,,
_sinano,"In ""an"" open syllable, the vowel is long.",,,,
_sic1ta,"In Column ""1"", there are some numbers.",,,,
_sic1ta1,"In Column ""2"", there are some written numbers.",,,,
_sicayw,In Column A you will find four first syllables.,,,,
_sicayw1,"In Column ""B"" you will find four consonant -""le"" endings",,,,
_simcwa,"In most cases, when a word ends in ""ey"", the ""ey"" makes the sound of long ""e"".",,,,
_sinmos,"In most two syllable words that end in ""y"", the ""y"" sounds like ""baby"".",,,,
_simtsw,"In most two syllable words that then in ""y"", the ""y"" sounds like long ""e"", as in the word ""baby"".",,,,
_simwtc,"In most words that contain CVC, the consonant will hook onto the second vowel, making the first vowel long.",,,,
_siplyl,In previous lessons you learned...,,,,
_sinpre,"In previous lessons, you practiced closed syllable words with ""up"" to five sounds.",,,,
_siswte,"In some words that end with a short vowel and the letters ""ch, a ""t"" is added to the ""ch"".",,,,
_siswte1,"In some words with the /""j""/ sound, the consonant ""d"" is added to keep the vowel short.",,,,
_siswtl,"In some words, the letter ""“i”"" in ""an"" open syllable will make the long “e” sound even when it is not followed by a vowel.",,,,
_siswvt,"In some words, vowel teams or two vowels side-by-side, are divided.",,,,
_sinthe,"In the closed syllable, the vowel will ""be"" short.",,,,
_sitfey,"In the following exercise you will hear the sound of long ""i"".",,,,
_sitn2l,"In the next ""22"" lessons, you will practice vowels that make their short sound.",,,,
_sitvctw,"In the ""vce"" syllable, the vowel will usually ""be"" long.",,,,
_sitlatl,"In the word ""and"", the letters ""a"" and ""n"" will ""be"" shown together because they make one sound.",,,,
_sitwbt1,"In the word “blow”, the letters “ow” make the sound of long “o”, “o”.",,,,
_sitwbt,"In the word “boat”, the letters ""“oa”"" make the sound of long “o”, “o”.",,,,
_sitwbto,"In the word “box”, the “o” makes it’s short sound, “o”.",,,,
_sitwctl,"In the word ""cage"", the letter ""g"" says /""j""/.",,,,
_sitwct1,"In the word ""camera"", there are three syllables: cam-""er""-a.",,,,
_sitwdt,"In the word ""dime"", the ""e"" at the end of the word is silent.",,,,
_sitwht1,"In the word “hay”, the letters “ay” make the sound of long “a”, “a”.",,,,
_sitwpt1,"In the word “piece”, the letter “c” is followed by ""an"" “e” which makes the “c” soft,",,,,
_sitwpt,"In the word ""pig"", the ""p"" is obstructed by your lips.",,,,
_sitwst,"In the word “steak”, the letters ""“ea”"" make the sound of long “a”, “a”.",,,,
_sitwtt3,"In the word “tie”, the letters ""“ie”"" make the sound of long ""“i”"", “i”.",,,,
_sitwtt2,"In the word “toe”, the letters ""“oe”"" make the sound of long “o”, “o”.",,,,
_sitwtt1,"In the word “train”, the letters ""“ai”"" make the sound of long “a”, “a”.",,,,
_sitwtt,"In the word “tree”, the letters ""“ee”"" make the sound of long “e”, “e”.",,,,
_sitw,in the word ... (There are ... sounds),,,,
_sitwct,"In the word cheese, the ""ch"" is obstructed by your mouth.",,,,
_sitwc,"In the word contract, ""tr"" is a blend, ""so"" you will not divide the word there.",,,,
_sitws,"In the word snapshot, ""sh"" is a digraph, ""so"" you will not divide the word there.",,,,
_situs,"In these unaccented syllables, the vowel becomes slurred.",,,,
_sitgyw,"In this case you can divide the blend ""ck"".",,,,
_sitcys,In this case you should divide the vowel team.,,,,
_sitgyw1,"In this game, you will name the syllable types in the words I say.",,,,
_sitgyw2,"In this game, you will see two columns.",,,,
_sitly37,In this lesson you learned about the doubling rule.,,,,
_sitlyl,In this lesson you learned...,,,,
_sitlyp,"In this lesson you practice words that contain a closed syllable where the vowel is ""y"".",,,,
_sitlyp1,"In this lesson you practice words that contain ""an"" ""s"" which is between vowels.",,,,
_sitly13,In this lesson you practiced consonants and vowels.,,,,
_sitly25,In this lesson you practiced...,,,,
_sitlyr,In this lesson you reviewed...,,,,
_sitly43,In this lesson you will also practice a new consonant sound.,,,,
_sitly34,"In this lesson you will ""be"" working with",,,,
_sitlyp2,In this lesson you will begin to build closed one syllable words using the consonants you have just reviewed.,,,,
_sitly29,In this lesson you will learn about the doubling rule.,,,,
_sitly10,In this lesson you will learn...,,,,
_sitlyw2,In this lesson you will practice a new syllable type.,,,,
_sitlyw3,"In this lesson you will practice a new type of syllable known as ""an"" open syllable.",,,,
_sitlyw1,In this lesson you will practice all the final blends that you have learned.,,,,
_sitly26,"In this lesson you will practice all the initial, or beginning blends.",,,,
_sitly19,In this lesson you will practice compound words.,,,,
_sitly38,In this lesson you will practice consonant digraphs.,,,,
_sitly28,In this lesson you will practice consonants and vowels.,,,,
_sitlyw8,"In this lesson you will practice final blends, or blends that come at the end of a word.",,,,
_sitlyw5,In this lesson you will practice final blends.,,,,
_sitlyw6,In this lesson you will practice initial and final blends in words with five sounds.,,,,
_sitly27,"In this lesson you will practice initial, or beginning blends.",,,,
_sitly30,"In this lesson you will practice making plurals, (more than one) out of words with ""up"" to six sounds.",,,,
_sitlyw9,In this lesson you will practice more closed two syllable words.,,,,
_sitlyw0,In this lesson you will practice more consonant digraphs.,,,,
_sitlyw7,In this lesson you will practice more final blends.,,,,
_sithyw2,"In this lesson you will practice more initial, or beginning, blends.",,,,
_sitly11,"In this lesson you will practice more ""vce"" words.",,,,
_sitly12,"In this lesson you will practice more words that contain a closed syllable and a vowel - consonant - silent ""e"" syllable.",,,,
_sitly35,"In this lesson you will practice some vowel - consonant - ""e"" words, better known as ""vce"" words.",,,,
_sitly14,"In this lesson you will practice the consonant ""l""-""e"" syllable.",,,,
_sitly33,In this lesson you will practice three letter blends.,,,,
_sitly16,"In this lesson you will practice two exceptions to the consonant ""l"" - ""e"" syllable.",,,,
_sityWp5,"In this lesson you will practice two syllable words that end in ""y"".",,,,
_sitly32,"In this lesson you will practice ""vce"" words that contain the letter ""s"" between ""2"" vowels.",,,,
_sitly17,"In this lesson you will practice words that contain a closed syllable and a vowel - consonant - silent ""e"" syllable.",,,,
_sitly18,"In this lesson you will practice words that contain a closed syllable and ""an"" open syllable.",,,,
_sitly40,"In this lesson you will practice words that contain a closed syllable where the vowel is ""y"".",,,,
_sitly41,In this lesson you will practice words that contain a vowel followed by the letter “r”.,,,,
_sitly20,In this lesson you will practice words that contain two closed syllables.,,,,
_sitly21,"In this lesson you will practice words that end in ""ive"".",,,,
_sitly22,"In this lesson you will practice words with three or more syllables and end in ""y"".",,,,
_sitly15,In this lesson you will practice words with three or more syllables.,,,,
_sitly39,In this lesson you will practice words with three or more syllables...,,,,
_sitly36,In this lesson you will practice...,,,,
_sitly24,In this lesson you will review...,,,,
_sithyw4,In this lesson you will work with more blends.,,,,
_sitly42,In this lesson you will work with more vowel teams.,,,,
_sitlyw,"In this lesson you will work with words with ""4"" sounds.",,,,
_sithyw1,"In this lesson you will work with words with same kind of sounds, but with a twist.",,,,
_sitly23,"In this lesson, you will practice more initial or beginning blends.",,,,
_sitpnw,"In this program, nonsense words will always have just one consonant at the end of a word.",,,,
_sitptlq,"In this program, the letter ""q"" will always ""be"" shown with the letter ""u"".",,,,
_sitpyw3,"In this program, you will see these letter combinations shown together.",,,,
_siwtca,"In words that contain a vowel followed by two “r”'""s"", the vowel will make it’s short sound.",,,,
_siwtctl,"In words that contain the letters ""igh"", the letters ""gh"" are silent, and the letter ""i"" makes the sound of long ""i"".",,,,
_siwtei,In words that end in,,,,
_siwtut,In words that use the three letter blend:,,,,
_siwwmt,"In words with more than one syllable that end with ""an"" unaccented a, the a says ""u"" (ugh), not a (short a).",,,,
_sind,"""ind"" (the sounds)",,,,
_ling,"""ing"" (the letters)",,,,
_sing,"""ing"" (the sounds)",,,,
_link,ink (the letters),,,,
_sink,ink (the sounds),,,,
_sintoh,Into has two beats or syllables: in to.,,,,
_lion,ion (the letters),,,,
_sion,ion (the sounds - ONION),,,,
_lirr,"""irr"" (the letters)",,,,
_siacs,is a closed syllable.,,,,
_sisals,is also a closed syllable.,,,,
_sifbtl,is followed by the letter...,,,,
_sisope,"is open, ""VT"" if the syllable is a vowel team syllable, or ""X"" if the syllable is ""an"" ""ive"" exception.",,,,
_sis1,"""is1"" (template for WORD in Card Deck)",,,,
_sis2,"""is2"" (template for letter in Card Deck)",,,,
_sis3,"""is3"" (template for .... in Card Deck)",,,,
_lish,"""ish"" (the letters)",,,,
_sitalw,"It always contains ""3"" letters, two of which are consonants.",,,,
_sihfl,It has four letters.,,,,
_siigtp,It is good to practice this as a sight word.,,,,
_siious,It is one uninterrupted sounding of your voice.,,,,
_sitist,"It is the vowel - consonant - ""e"" syllable.",,,,
_sitlea,It leaps over the consonant and causes the vowel to make its long sound.,,,,
_simtso,it makes the sound of ...,,,,
_simtsol,"It makes the sound of long ""e"".",,,,
_siwmts,"It will make the sound of /""i""/. mystic.",,,,
_sitwou,It would help to sound out each syllable before you try building a word.,,,,
_silhan,"It'""s"" like holding a note when you sing a song, or saying ""ah"" when the doctor looks at your tonsils.",,,,
_live,"""ive"" (the letters)",,,,
_sjcotw,"Just click on the word to hear it'""s"" sound.",,,,
_sjptrb,Just press the RECORD button while you talk.,,,,
_sjtalo,Just try another letter or press the repeat button to hear it again.,,,,
_sjustt,"Just try another letter, or ask ""me"" to repeat the word.",,,,
_sjttcl1,Just type the correct letter inside the red spaces.,,,,
_sjttcl,Just type the correct letter over the letter you have already typed.,,,,
_sk,"""k"" (letter sound)",,,,
_skimtt,"Keep in mind that the final ""f"", ""l"", ""s"", or ""z"" must ""be"" doubled, and that the doubled consonant will make just one sound.",,,,
_lkn,"""kn"" (the letters)",,,,
_sl,"""l"" (letter sound)",,,,
_sltwl,"Last time ""we"" learned...",,,,
_sltwpt1,"Last time ""we"" practiced ""10"" sounds.",,,,
_sltwpf,"Last time ""we"" practiced ""4"" consonant sounds.",,,,
