Wave1,Corrections,RU,DE,ES,FR,AR,zh-CHS,TR,PT,Philiphino Tagalog,Hindi,Polish
_sawmah,A word must always have a vowel sound.,Слово всегда должно иметь гласный звук.,Ein Wort muss immer einen Vokal haben.,Una palabra debe tener siempre un sonido vocal.,Un mot doit toujours avoir un son de voyelle.,يجب ان يكون للكلمة صوت أحرف العلة دائما.,一个词必须总是有元音音。,Bir kelimenin her zaman sesli ses olması gerekir.,Uma palavra deve sempre ter um som vogal.,,,
_sawwtl,"A word represented by the letters ""cvc"" is made up with (a consonant , a vowel, and a consonant).","Слово, представленное буквами «КВК», состоит из «up» с (согласный, «авовел» и согласный).","Ein Wort, das durch die Buchstaben ""CVC"" repräsentiert wird, wird ""up"" mit (einem Konsonanten, ""avowel"" und einem Konsonanten) gebildet.","Una palabra representada por las letras ""CVC"" se hace ""para arriba"" con (una consonante, ""avowel"", y una consonante).","Un mot représenté par les lettres ""CVC"" est fait ""up"" avec (une consonne, ""avowel"", et une consonne).","والكلمة التي تمثلها الرسائل ""الاتفاقية الخاصة"" هي عبارة ""حتى"" مع (a ساكن ، ""افويل"" ، وساكنه).","由字母 ""cvc"" 表示的词由 ""向上"" 与 (辅音, ""avowel"" 和辅音)。","""CVC"" harfleri ile temsil edilen bir kelime ""Up"" ile (bir ünsüz, ""avowel"" ve bir ünsüz) yapılır.","Uma palavra representada pelas letras ""CVC"" é feita ""up"" com (uma consoante, ""avowel"" e uma consoante).",,,
_saeiou,"""A"", ""e"", ""i"", ""o"", and ""u"".","""A"", ""e"", ""i"", ""o"" и ""u"".","""a"", ""e"", ""i"", ""o"" und ""u"".","""A"", ""e"", ""i"", ""o"", y ""u"".","""A"", ""e"", ""i"", ""o"" et ""u"".","""A"" ، ""هاء"" ، ""انا"" ، ""o"" ، و ""u"".","""A"", ""e"", ""i"", ""o"" 和 ""u""。","""A"", ""e"", ""ı"", ""o"" ve ""u"".","""A"", ""e"", ""i"", ""o"", e ""u"".",,,
_lable,able (the letters),возможность (буквы),fähig (die Buchstaben),able (las letras),able (les lettres),قادره (الرسائل),能 (信件),Able (harfler),Able (as letras),,,
_safb,about final blends.,о финальных смешениях.,über Final Blends.,Acerca de las mezclas finales.,à propos des mélanges finaux.,حول المزج النهائي.,关于最终的融合。,Son karışımlar hakkında.,sobre as misturas finais.,,,
_saib,about initial blends.,о начальных переходах.,über anfängliche blenden.,Acerca de las mezclas iniciales.,sur les mélanges initiaux.,حول المزج الاولي.,关于初始混合。,ilk karışımlar hakkında.,sobre as misturas iniciais.,,,
_satdr,about the doubling rule.,о правиле удвоения.,über die doppelte Regel.,sobre la regla de doblaje.,sur la règle de doublement.,حول قاعده مضاعفه.,关于加倍的规则,iki misli kuralı hakkında.,sobre a regra de duplicação.,,,
_sitlywl,about word blends.,о программе Word Blend.,über Word Blends.,Acerca de las mezclas de palabras.,à propos des mélanges de mots.,حول خليط الكلمات.,关于单词混合。,kelime karışımları hakkında.,sobre misturas de palavras.,,,
_saavtm,"Add a vowel (a,""e"",""i"",""o"" or ""u"") to make a word.","Добавить гласные (a, ""e"", ""i"", ""o"" или ""u""), чтобы сделать слово.","Fügen Sie einen Vokal (a, ""e"", ""i"", ""o"" oder ""u"") ein, um ein Wort zu machen.","Añada una vocal (a, ""e"", ""i"", ""o"" o ""u"") para hacer una palabra.","Ajouter une voyelle (a, ""e"", ""i"", ""o"" ou ""u"") pour faire un mot.","أضافه حرف العلة (a ، ""e"" ، ""i"" ، ""o"" أو ""u"") لجعل كلمه.","添加一个元音 (a, ""e"", ""i"", ""o"" 或 ""u"") 做一个词。","Bir kelime yapmak için bir sesli harf (a, ""e"", ""ı"", ""o"" veya ""u"") ekleyin.","Adicione uma vogal (a, ""e"", ""i"", ""o"" ou ""u"") para fazer uma palavra.",,,
_saytyc,"After you type your choice, I will give you the correct choice for spelling.",После ввода выбранного варианта я дам вам правильный выбор для написания.,"Nachdem Sie Ihre Wahl eingegeben haben, werde ich Ihnen die richtige Wahl für die Rechtschreibung geben.","Después de que usted teclee su opción, le daré la opción correcta para deletrear.","Après que vous tapez votre choix, je vous donnerai le bon choix pour l'orthographe.",بعد ان تقوم بكتابه اختيارك ، ساعطيك الخيار الصحيح للتدقيق.,"在您键入您的选择之后, 我将给您正确的拼写选择。","Seçiminizi yazın sonra, size yazım için doğru seçimi verecektir.","Depois que você datilografa sua escolha, eu dar-lhe-á a escolha correta para soletrar.",,,
_sasitw,"Again, separate the words into syllables, read one syllable at a time, and then blend into a whole word.","Снова разделите слова на слоги, прочитайте один слог за раз, а затем переходите в целое слово.","Wiederum trennen Sie die Wörter in Silben, lesen Sie jeweils eine Silbe, und vermischen Sie sich dann in ein ganzes Wort.","Una vez más, separar las palabras en sílabas, leer una sílaba a la vez, y luego mezclar en una palabra entera.","Encore une fois, séparer les mots en syllabes, lire une syllabe à la fois, puis se fondre dans un mot entier.",مره أخرى ، وفصل الكلمات في المقاطع ، قراءه مقطع واحد في كل مره ، ومن ثم مزيج في كلمه كامله.,"再次, 把单词分成音节, 一次读一个音节, 然后混合成一个完整的单词。","Kelimeleri hecelere ayırın, aynı anda bir heceyi okuyup bir kelimeyi bütünüyle karıştırın.","Mais uma vez, separe as palavras em sílabas, leia uma sílaba de cada vez, e depois misture em uma palavra inteira.",,,
_lai,"""ai"" (the letters)","""Ай"" (буквы)","""AI"" (die Buchstaben)","""AI"" (las letras)","""ai"" (les lettres)","""ai"" (الرسائل)","""ai"" (字母)","""AI"" (harfler)","""ai"" (as letras)",,,
_sai,"""ai"" (the sounds)","""Ай"" (звуки)","""AI"" (die Klänge)","""AI"" (los sonidos)","""ai"" (les sons)","""ai"" (الأصوات)","""ai"" (声音)","""AI"" (sesler)","""ai"" (os sons)",,,
_lald,"""ald"" (the letters)","""НОП"" (буквы)","""ALD"" (die Buchstaben)","""ALD"" (las letras)","""ALD"" (les lettres)","""ألد"" (الرسائل)","""限期"" (字母)","""ald"" (harfler)","""ALD"" (as letras)",,,
_lalk,"""alk"" (the letters)","""АЛК"" (буквы)","""ALK"" (die Buchstaben)","""alcalino"" (las letras)","""ALK"" (les lettres)","""الكلمة"" (الرسائل)","""说"" (信件)","""alk"" (harfler)","""AIK"" (as letras)",,,
_lall,all (the letters),все (буквы),Alle (die Buchstaben),todos (las letras),tous (les lettres),all (الرسائل),所有 (信件),Tüm (harfler),todos (as letras),,,
_saotlvs,all of the long vowel sounds which are closed syllable exceptions,"все длинные гласные звуки, которые являются исключениями из закрытого слога","alle langen Vokal-Töne, die geschlossene Silbe Exceptions sind",todos los sonidos largos de la vocal que son excepciones cerradas de la sílaba,toutes les voyelles longues qui sont fermées exceptions SYLLABE,كل من الأصوات الطويلة حرف العلة التي هي الاستثناءات المقطع مغلقه,所有是闭合的音节例外的长的元音声音,kapalı hece istisnalar olan uzun sesli seslerin tümü,todos os sons vogais longos que são exceções de sílaba fechado,,,
_saatws,All of these words should be memorized.,"Все эти слова должны ""быть"" запоминать.","Alle diese Worte sollten ""be"" auswendig gelernt.",Todas estas palabras deben ser memorizadas.,Tous ces mots doivent être mémorisés.,"كل هذه الكلمات ""يجب ان"" يحفظ.","所有这些单词都应该 ""被"" 记住。","Tüm bu kelimelerin """" ezberlemek gerekir.",Todas estas palavras devem ser memorizadas.,,,
_sasmha,All syllables must have a vowel.,Все слоги должны быть гласными.,Alle Silben müssen einen Vokal haben.,Todas las sílabas deben tener una vocal.,Toutes les syllabes doivent avoir une voyelle.,كل المقاطع يجب ان يكون لها حرف العلة.,所有音节都必须有元音。,Tüm hecelerin sesli harfleri olmalı.,Todas as sílabas devem ter uma vogal.,,,
_satdyh,all the digraphs you have learned so far.,"все расграфы, которые вы узнали ""так"" далеко.","Alle Digraphen, die Sie gelernt haben, ""so"" weit.","todos los digramas que has aprendido ""tan"" lejos.","tous les digraphes que vous avez appris ""so"" Far.",كل الرسوم البيانية التي تعلمتها حتى الآن,"所有的图你已经学会了 ""那么"" 远。","""So"" kadar dahil.","todos os digrafos que você aprendeu ""tão"" longe.",,,
_sallth,All the syllables in these words will be closed; therefore the vowels will be short.,"Все слоги в этих словах будут ""быть"" закрытыми; Поэтому гласные будут короткими.",Alle Silben in diesen Wörtern werden geschlossen; Daher werden die Vokale kurz sein.,Todas las sílabas de estas palabras se cerrarán; por lo tanto las vocales serán cortas.,"Toutes les syllabes de ces mots seront «fermées»; par conséquent, les voyelles seront courtes.","جميع المقاطع في هذه الكلمات ""ستكون"" مغلقه ؛ التالي فان أحرف العلة ستكون قصيرة.",这些词中所有的音节都将被关闭;因此元音将是短的。,"Bu kelimelerdeki tüm heceler ""kapalı"" olacaktır; Bu nedenle sesli harfler kısa olacaktır.","Todas as sílabas nestas palavras serão fechadas; Portanto, as vogais serão curtas.",,,
_satvty,all the vowel teams you have learned so far.,"все гласные команды, которые вы узнали ""так"" далеко.","Alle Vokale-Teams, die Sie gelernt haben, ""so"" weit.","todos los equipos vocales que has aprendido ""tan"" lejos.","toutes les voyelles que vous avez apprises ""so"" Far.",كل الفرق الصوتية التي تعلمتها حتى الآن,"所有的元音团队, 你已经学会了 ""那么"" 远。","""So"" Bildiğin tüm ünlü takımlar.","todas as equipas de vogais que aprendeste ""tão longe"".",,,
_satvty1,all the vowel teams you worked with in the previous lessons.,"все гласные команды, с которыми вы работали на предыдущих уроках.","alle Vokal-Teams, mit denen Sie in den vorangegangenen Lektionen gearbeitet haben.",todos los equipos vocales con los que trabajaste en las lecciones anteriores.,toutes les voyelles avec lesquelles vous avez travaillé dans les leçons précédentes.,جميع الفرق الأحرف التي عملت معها في الدروس السابقة.,你在上节课中所做的所有元音团队。,önceki derste çalıştığın tüm ünlü takımlar.,todas as equipas de vogais com que trabalhou nas lições anteriores.,,,
_satmtss,All three make the same sound.,Все три делают один и тот же звук.,Alle drei machen denselben Klang.,Los tres hacen el mismo sonido.,Les trois font le même bruit.,كل الثلاثة يصنعون نفس الصوت,所有三发出相同的声音。,Üçü de aynı sesi yapıyor.,Todos os três fazem o mesmo som.,,,
_lalm,"""alm"" (the letters)","""Управление жизненным циклом приложений"" (буквы)","""Alm"" (die Buchstaben)","""ALM"" (las letras)","""ALM"" (les lettres)","""الم"" (الحروف)","""alm"" (信件)","""Alm"" (harfler)","""Alm"" (as letras)",,,
_salmos,Almost all of the words you have practiced so far have been one syllable.,"Почти все слова, которые вы практиковали ""так"", были один слог.","Fast alle Worte, die Sie praktiziert haben ""so"" weit sind eine Silbe gewesen.","Casi todas las palabras que has practicado ""So"" han sido una sílaba.",Presque tous les mots que vous avez pratiqués «so» ont été une syllabe.,"تقريبا كل من الكلمات التي مارستها ""حتى"" حتى الآن كان مقطع واحد.",几乎所有你练习过的单词都是一个音节。,"Neredeyse tüm kelimelerin ""So"" çok bir hece olmuştur pratik var.","Quase todas as palavras que você praticou ""tão"" têm sido uma sílaba.",,,
_saitwf,"Also, in the word full, the short ""u"" sound is affected by the ""l"".","Кроме того, в слове «Full» на короткое слово «u» влияет «l».","Auch im Wort voll, der kurze ""u"" Klang wird von der ""l"" beeinflusst.","También, en la palabra Full, el sonido corto ""u"" es afectado por la ""l"".","En outre, dans le mot plein, le court ""u"" son est affecté par le ""l"".","أيضا ، في كلمه كامله ، والقصيرة ""u"" الصوت يتاثر ب ""l"".","而且, 在 ""完整"" 一词中, 短的 ""u"" 音受 ""l"" 的影响。","Ayrıca, kelime dolu, kısa ""u"" ses ""l"" etkilenmektedir.","Além disso, na palavra completa, o curto ""u"" som é afetado pelo ""l"".",,,
_sarttv,"Also, remember that some vowel teams can make more than one sound.","Кроме того, помните, что некоторые гласные команды могут делать более одного звука.","Beachten Sie auch, dass einige Vokal-Teams mehr als einen Klang machen können.","Además, recuerde que algunos equipos vocales pueden hacer más de un sonido.","Aussi, rappelez-vous que certaines équipes de voyelles peuvent faire plus d'un son.",أيضا ، تذكر ان بعض الفرق الأحرف الصوتية يمكن ان تجعل أكثر من صوت واحد.,"另外, 请记住, 一些元音团队可以发出不止一个声音。","Ayrıca, bazı ünlü takımlar birden fazla ses yapabilir unutmayın.","Além disso, lembre-se que algumas equipes de vogais podem fazer mais de um som.",,,
_lalt,alt (the letters),Alt (буквы),alt (die Buchstaben),Alt (las letras),Alt (les lettres),alt (الأحرف),alt (字母),alt (harfler),Alt (as letras),,,
_salway,Always blend the word syllable by syllable.,Всегда накладываем слово слог по слогам.,Blende immer die Wort-Silbe durch Silbe ein.,Siempre mezcle la palabra sílaba por sílaba.,Toujours mélanger le mot syllabe par syllabe.,مزيج دائما المقطع كلمه بواسطة مقطع لفظي.,总是用音节来混合单词。,Hece kelime hece her zaman karıştırın.,Sempre misture a palavra sílaba por sílaba.,,,
_sasiat,"An ""s"" is added to the end of the word to make it plural.","в конец слова добавляется ""a"" ""s"", чтобы сделать его множественным.","""ein"" ""s"" wird am Ende des Wortes hinzugefügt, um es Plural zu machen.","""una"" ""s"" se agrega al final de la palabra para hacerla plural.","""un"" ""s"" est ajouté à la fin du mot pour le rendre pluriel.","يتم أضافه ""s"" إلى نهاية الكلمة لجعله الجمع.","""s"" 被添加到单词的末尾, 使其变为复数。","Çoğul yapmak için sözcüğün sonuna ""s"" eklenir.","Um ""s"" é adicionado ao fim da palavra para torná-lo plural.",,,
_saeitw,"An example is the word ""patch"", which has a short ""a"".","ПРимер ""a""-это слово ""патч"", которое имеет короткий ""a"".","""ein"" Beispiel ist das Wort ""Patch"", das einen kurzen ""a"" hat.","""un"" ejemplo es la palabra ""patch"", que tiene un corto ""a"".","""un"" exemple est le mot ""patch"", qui a un court ""a"".","ومن الامثله علي ذلك كلمه ""تصحيح"" ، التي لها ""الف"" قصيرة.","一个例子是 ""补丁"" 这个词, 它有一个简短的 ""a""。","Kısa bir ""a"" olan ""Patch"" sözcüğünün örneğidir.","Um exemplo é a palavra ""patch"", que tem um ""a"" curto.",,,
_sanope,"An open syllable ends with a vowel, and that vowel is long.","ОТкрытый слог заканчивается гласным, а гласный-длинный.","""eine"" geöffnete Silbe endet mit einem Vokal, und der Vokal ist lang.","""una"" sílaba abierta termina con una vocal, y esa vocal es larga.","""une"" syllabe ouverte se termine par une voyelle, et cette voyelle est longue.",مقطع مفتوح ينتهي مع حرف العلة ، وهذا الحرف طويلة.,"一个开放的音节以元音结尾, 而元音是长的。",Açık hece bir sesli harfle sona erer ve sesli harf uzun.,"Uma sílaba aberta termina com uma vogal, e essa vogal é longa.",,,
_sap,"and ""p"" ...(are consonants.) (the letters ""t"")...","и ""p""... (согласные.) (буквы ""t"")...","und ""p"" ... (sind Konsonanten.) (die Buchstaben ""t"") ...","y ""p"" ... (son consonantes.) (las letras ""t"") ...","et ""p"" ... (sont des consonnes.) (les lettres ""t"") ...","و ""p""... (هي الساكنة). (الحروف ""t"")...","和 ""p""..。(是辅音。(字母 ""t"")..。","ve ""p""... (ünsüzler vardır.) (harfler ""t"")...","e ""p""... (são consoantes.) (as letras ""t"")...",,,
_saac,and a consonant.,и согласные.,und einen Konsonanten.,y una consonante.,et une consonne.,والساكنة.,和辅音。,ve sessiz.,e uma consoante.,,,
_sastls,And say the letter sound...,"И сказать, что письмо звучит...","Und sagen, der Buchstabe Klang ...",Y dicen que el sonido de la letra ...,Et dire le son de la lettre ...,ويقول الصوت الرسالة...,并说的信的声音..。,Ve mektup ses söylüyorlar...,E diga a carta soar...,,,
_sastls1,And say the letters sound...,"И сказать, что буквы звучат...",Und sagen die Buchstaben Klang ...,Y dicen que las letras suenan ...,Et dire les lettres sonores ...,ويقول الصوت الرسائل...,并说字母的声音..。,Ve harfler ses söylüyorlar...,E dizem que as letras soam...,,,
_satbod,"and the blend or digraph (""Hint3"").","и смесь или расграфа (""хинт3"").","und die Mischung oder Digraph (""Hint3"").","y la mezcla o el digrama (""Hint3"").",et le mélange ou le digramme («Hint3»).,"والمزج أو الرسم البياني (""Hint3"").","和混合或有向图 (""Hint3"")。","ve Blend veya digraph (""Hint3"").","e a mistura ou digrafo (""Hint3"").",,,
_satc,"and the consonant (""Hint3"").","и согласный (""хинт3"").","und den Konsonanten (""Hint3"").","y la consonante (""Hint3"").","et la consonne (""Hint3"").","والساكنة (""Hint3"").","和辅音 (""Hint3"")。","ve ünsüz (""Hint3"").","e a consoante (""Hint3"").",,,
_satv,"and the vowel (""Hint3"")","и гласный (""хинт3"")","und der Vokal (""Hint3"")","y la vocal (""Hint3"")","et la voyelle (""Hint3"")","وحرف العلة (""Hint3"")","和元音 (""Hint3"")","ve sesli harfler (""Hint3"")","e a vogal (""Hint3"")",,,
_savwtl,"and vowels with the letter ""v"". (we will represent consonants with the letter ""c"")","и гласные с буквой ""v"". (""мы"" будем представлять согласные с буквой ""c"")","und Vokale mit dem Buchstaben ""v"". (""wir"" werden Konsonanten mit dem Buchstaben ""c"" repräsentieren)","y vocales con la letra ""v"". (""nosotros"" representaremos consonantes con la letra ""c"")","et des voyelles avec la lettre ""v"". (""nous"" représenterons les consonnes avec la lettre ""c"")","وأحرف العلة مع الحرف ""v"". (""نحن"" سنمثل الحروف الساكنة مع الحرف ""ج"")","元音与字母 ""v""。(""我们"" 将代表辅音与字母 ""c"")","ve ""v"" harfi ile ünlüler. (""Biz"" harf ""c"" ile ünsüz temsil edecektir)","e vogais com a letra ""v"". (""nós"" vai representar consoantes com a letra ""c"")",,,
_wand1,"and...(""Hint3"") (used in Syllables, Break ""3"")","и... (""хинт3"") (используется в слогах, разрыв ""3"")","und ... (""Hint3"") (wird in Silben verwendet, Break ""3"")","y ... (""Hint3"") (utilizado en sílabas, rotura ""3"")","et ... (""Hint3"") (utilisé en syllabes, Break ""3"")","و... (""Hint3"") (المستخدمة في المقاطع ، كسر ""3"")","和.(""Hint3"")(用于音节, 打破 ""3"")","ve... (""Hint3"") (hecelerde kullanılan, break ""3"")","e... (""Hint3"") (usado nas sílabas, ruptura ""3"")",,,
_lang,"""ang"" (the letters)","""эндж"" (буквы)","""ang"" (die Buchstaben)","""Ang"" (las letras)","""ang"" (les lettres)","""انغ"" (الرسائل)","""昂"" (字母)","""ang"" (harfler)","""ang"" (as letras)",,,
_sang,"""ang"" (the sounds)","""эндж"" (звуки)","""ang"" (die Klänge)","""Ang"" (los sonidos)","""ang"" (les sons)","""انج"" (الأصوات)","""昂"" (声音)","""ang"" (sesler)","""ang"" (os sons)",,,
_lank,"""ank"" (the letters)","""АНК"" (буквы)","""Ank"" (die Buchstaben)","""ANK"" (las letras)","""ANK"" (les lettres)","""الآن"" (الحروف)","""谢谢"" (信件)","""ank"" (harfler)","""agradecer"" (as letras)",,,
_sank,"""ank"" (the sounds)","""АНК"" (звуки)","""Ank"" (die Klänge)","""ANK"" (los sonidos)","""ANK"" (les sons)","""الآن"" (الأصوات)","""谢谢"" (音)","""ank"" (sesler)","""agradecer"" (os sons)",,,
_sadiwt,another digraph in which the consonants do have separate sounds.,"еще одна расграфа, в которой согласные имеют отдельные звуки.","ein anderes Digraph, in dem die Konsonanten getrennte Töne haben.",otro digrama en el que las consonantes tienen sonidos separados.,un autre digramme dans lequel les consonnes ont des sons distincts.,آخر الرسم البياني الذي الحروف الساكنة لديها أصوات منفصلة.,辅音有不同的声音的另一有向图。,ünsüzlerin ayrı sesleri olduğu başka bir digraph.,outro digrafo em que as consoantes têm sons distintos.,,,
_saetvt,another exception to vowel team rules.,еще одно исключение из правил для гласных команд.,eine weitere Ausnahme zu Vokal-Team Regeln.,otra excepción a las reglas del equipo vocal.,une autre exception aux règles de l'équipe de voyelles.,استثناء آخر لقواعد الفريق الأحرف الصوتية.,元音团队规则的另一个例外。,ünlü takım kuralları için başka bir istisna.,outra exceção às regras da equipe vogal.,,,
_saniyt,"Answer ""no"" if you think the doubling rule does not apply to the word.","Ответ ""нет"", если вы считаете, что правило удвоения не применяется к слову.","Antwort ""Nein"", wenn Sie denken, dass die doppelte Regel nicht für das Wort gilt.","Responda ""no"" Si cree que la regla de duplicación no se aplica a la palabra.","Réponse ""non"" si vous pensez que la règle de doublement ne s'applique pas au mot.","الاجابه ""لا"" إذا كنت تعتقد ان قاعده مضاعفه لا تنطبق علي الكلمة.","如果你认为加倍规则不适用于这个词, 回答 ""否""。","İki katına kural sözcüğün geçerli olmadığını düşünüyorsanız ""Hayır"" cevap.","Resposta ""não"" se você acha que a regra de duplicação não se aplica à palavra.",,,
_sayiyt,Answer yes if you think the doubling rule applies to the word.,"Ответьте Да, если вы считаете, что правило удвоения применяется к слову.","Beantworten Sie ja, wenn Sie denken, die doppelte Regel gilt für das Wort.",Responda sí si cree que la regla de duplicación se aplica a la palabra.,Réponse oui si vous pensez que la règle de doublement s'applique au mot.,الاجابه نعم إذا كنت تعتقد ان قاعده مضاعفه ينطبق علي الكلمة.,"回答是, 如果你认为加倍规则适用于这个词。",İki katına kural Word için geçerli olduğunu düşünüyorsanız Evet cevap.,"Resposta Sim, se você acha que a regra de duplicação se aplica à palavra.",,,
_sacrcs,"are called ""r""-controlled syllables (Syllables that contain the letters...(""ar""/""er""/""ir"", ""etc"") ...","называются ""r""-регулируемые слоги (слоги, содержащие буквы... (""AR""/""ER""/""ИК"", ""и т. д."")...","werden ""r""-kontrollierte Silben genannt (Silben, die die Buchstaben enthalten ...) (""ar""/""er""/""IR"", ""etc"") ...","se llaman ""r""-sílabas controladas (sílabas que contienen las letras ...) (""ar""/""er""/""ir"", ""etc"") ...","sont appelés «r»-les syllabes contrôlées (syllabes qui contiennent les lettres ...) (""AR""/""er""/""IR"", ""etc"") ...","وتسمي ""r"" المقاطع التي تسيطر عليها (المقاطع التي تحتوي علي الحروف... (""ع""/""er""/""الاشعه تحت الحمراء"" ، ""الخ"")...","被称为 ""r""-控制音节 (包含字母的音节..。(""ar""/""er""/""ir"", ""等"")..。","adı ""r""-kontrollü heceler (harfler içeren heceler... (""ar""/""er""/""IR"", ""vb"")...","são chamadas de ""r""-sílabas controladas (sílabas que contêm as letras... (""ar""/""er""/""ir"", ""etc"")...",,,
_sac,"are consonants. (the letters ""t"" and ""p"")","согласны. (буквы ""t"" и ""p"")","sind Konsonanten. (die Buchstaben ""t"" und ""p"")","son consonantes. (las letras ""t"" y ""p"")","sont des consonnes. (les lettres ""t"" et ""p"")","هي الساكنة. (الحرفان ""t"" و ""p"")","是辅音。(字母 ""t"" 和 ""p"")","ünsüzler vardır. (""t"" ve ""p"" harfi)","são consoantes. (as letras ""t"" e ""p"")",,,
