_swysav2,"When you see a vowel with ""2"" dots over it, ""we"" call it a double-dotted vowel.","Когда вы видите гласную с двумя точками на ней, мы называем ее двойной гласной.","Wenn Sie einen Vokal mit 2 Punkten darüber sehen, nennen wir ihn einen doppelten Vokal.","Cuando ves una vocal con 2 puntos sobre ella, la llamamos una vocal de doble punteado.","Lorsque vous voyez une voyelle avec 2 points sur elle, nous l'appelons une voyelle double-pointillée."
_swysav,"when you see a vowel with a curved line over it, that means the vowel is short.","При просмотре гласной с изогнутой линией, это означает, что гласная короткая.","Wenn Sie einen Vokal mit einer gebogenen Linie darüber sehen, bedeutet das, dass der Vokal kurz ist.","Cuando se ve una vocal con una línea curva sobre ella, significa que la vocal es corta.","Lorsque vous voyez une voyelle avec une ligne incurvée sur elle, cela signifie que la voyelle est courte."
_swysav1,"When you see a vowel with a straight line over it, that means the vowel is long.","Когда вы видите гласную с прямолинейной линией, это означает, что гласный длинный.","Wenn Sie einen Vokal mit einer geraden Linie über Sie sehen, bedeutet das, dass der Vokal lang ist.","Cuando ves una vocal con una línea recta sobre ella, significa que la vocal es larga.","Lorsque vous voyez une voyelle avec une ligne droite sur elle, cela signifie que la voyelle est longue."
_swysaw,"When you see a word with ""an"" apostrophe ""s"" at the end of it, ""we"" call the word possessive.","Когда вы увидите слово с апострофом s в конце, мы называем это слово «обладающим».","Wenn Sie ein Wort mit einem Apostroph s am Ende von ihm sehen, nennen wir das Wort besessen.","Cuando se ve una palabra con un apóstrofe s al final de la misma, llamamos a la palabra posesivo.","Lorsque vous voyez un mot avec une apostrophe s à la fin de celui-ci, nous appelons le mot possessif."
_swyaate,"Whenever you are asked to enter the letter ""q"" you will also need to enter the letter ""u"".","Когда вам будет предложено ввести букву q, необходимо также ввести букву u.","Wann immer Sie gebeten werden, den Buchstaben q einzugeben, müssen Sie auch den Buchstaben u eingeben.",Siempre que se le pida que ingrese la letra q también tendrá que introducir la letra u.,Chaque fois que vous êtes invité à entrer dans la lettre q vous devrez également entrer la lettre u.
_swumtl,"will usually make the long ""i"" sound and the long ""o"" sound.","как правило, я буду звучать длинный и длинный звук.",wird in der Regel machen den langen i Sound und der lange o Sound.,por lo general hará que el sonido de largo y el sonido largo o.,sera généralement faire le long je sonne et le son long o.
_lwor,"""wor"" (the letters)",(буквы),(die Buchstaben),(las letras),tra (les lettres)
_swor,"""wor"" (the sounds)",(звуки),die Klänge,(los sonidos),tra (les sons)
_swtacs,"words that are closed syllables, but make the long vowel sound.","слова, которые являются закрытыми слогами, но делают длинный гласный звук.","Wörter, die geschlossene Silben sind, aber den langen Vokal bilden.","las palabras que son sílabas cerradas, pero hacen el sonido largo de la vocal.","des mots qui sont des syllabes fermées, mais font le son long voyelle."
_swtcac,"words that contain a closed syllable and a vowel - consonant - silent ""e"" syllable.","слова, содержащие закрытый слог и гласный-молчаливый слог.","Wörter, die eine geschlossene Silbe und eine Vokale-Konsonanten-Stille e-Silbe enthalten.",palabras que contienen una sílaba cerrada y una sílaba Vocal-consonante-e silenciosa.,Mots qui contiennent une syllabe fermée et une voyelle-consonne-Silent e syllabe.
_swtcacs,"words that contain a closed syllable and ""an"" open syllable.","слова, содержащие закрытый слог и открытый слог.","Wörter, die eine geschlossene Silbe und eine offene Silbe enthalten.",palabras que contienen una sílaba cerrada y una sílaba abierta.,Mots qui contiennent une syllabe fermée et une syllabe ouverte.
_swtcac1,"words that contain a closed syllable where the vowel is ""y"".","слова, содержащие закрытый слог, где гласная y.","Wörter, die eine geschlossene Silbe enthalten, in der der Vokal y ist.",palabras que contienen una sílaba cerrada donde la vocal es y.,Mots qui contiennent une syllabe fermée où la voyelle est y.
_swtcas,"words that contain a soft ""g"".","слова, которые содержат мягкий g.","Wörter, die einen weichen g enthalten.",palabras que contienen un g suave.,Mots qui contiennent un g doux.
_swtcavf,words that contain a vowel followed by the letter “r”.,"слова, содержащие гласные, за которыми следует буква ""r"".","Wörter, die einen Vokal enthalten, gefolgt vom Buchstaben ""r"".","palabras que contienen una vocal seguida de la letra ""r"".","les mots qui contiennent une voyelle suivie de la lettre ""r""."
_swtcett,words that contain exceptions to the open syllable rule.,"слова, содержащие исключения из правила открытого слога.","Wörter, die Ausnahmen von der Regel der geöffneten Silbe enthalten.",palabras que contienen excepciones a la regla de sílaba abierta.,Mots qui contiennent des exceptions à la règle de syllabe ouverte.
_swtctd,"words that contain the digraph ""ph"" and make the /""f""/ sound.","слова, которые содержат графу pH и делают/ф/звук.","Wörter, die das Digraph pH enthalten und den/bilden.",palabras que contienen el digrama pH y hacen que el sonido/.,les mots qui contiennent le pH digramme et de faire le son/f/.
_swtctl,words that contain the letters,"слова, содержащие буквы","Wörter, die die Buchstaben enthalten",palabras que contienen las letras,les mots qui contiennent les lettres
_swtctla,"words that contain the letters ""al"".","слова, содержащие буквы Al.","Wörter, die die Buchstaben Al enthalten.",palabras que contienen las letras al.,les mots qui contiennent les lettres al.
_swtctcs,words that contain two closed syllables.,"слова, содержащие два закрытых слога.","Wörter, die zwei geschlossene Silben enthalten.",palabras que contienen dos sílabas cerradas.,Mots qui contiennent deux syllabes fermées.
_swtdwn,words that deal with numbers or counting.,"слова, которые касаются чисел или подсчета.","Wörter, die mit Zahlen oder zählen beschäftigen.",palabras que tratan con números o contando.,les mots qui traitent des nombres ou du comptage.
_swords,"Words that end in ""ive"" are exceptions to the ""vce"" pattern.","Слова, которые заканчиваются мною, являются исключениями из ВЦЕ шаблона.","Wörter, die in Ive enden, sind Ausnahmen vom VCE Muster.",Las palabras que terminan en Ive son excepciones al patrón de VCE.,Les mots qui finissent dans ive sont des exceptions au modèle VCE.
